name,address,phones,cuisine,category,working_hours,avg_cost_2_people,features,description,facebook,instagram,twitter,foursquare,email,latitude,longitude,images,url
Take Five restoranı,"Nizami küçəsi, 93 / 40",012 4935748,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/121-take-five-restorani
Buta Art Club,"D.Əliyeva küç., 216",012 5983552; 012 5980312,Avropa; Azərbaycan,Klublar,11:00 - 00:00,25,Biznes lanç; Canlı musiqi; Fon musiqisi; İçkilər; Wi-Fi; Vip zona; Səhər yeməyi; Kredit kartla ödəniş; Masaların sifarişi; Sigaret çəkməyən və çəkənlər üçün masalar; Qəlyan; Sərbəst Wi-Fi,"""Buta art club"" əla milli mətbəxlə, münasib qiymətlərlə və yaxşı xidmətlə Sizi sevindirəcək. Restoranda böyük, işıqlı banket zalı və dincələ biləcəyiniz, qəlyan və müxtəlif içkilərin dadına baxa biləcəyiniz ayrıca otaqlar da mövcuddur.",https://www.facebook.com/Club.BUTA/timeline,,,http://4sq.com/nNkhyI,,40.3791231,49.8527144,https://bakuguide.com/images/places/122/buta-art-club-1.png; https://bakuguide.com/images/places/122/buta-art-club-2.png; https://bakuguide.com/images/places/122/buta-art-club-3.png; https://bakuguide.com/images/places/122/buta-art-club-4.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/122-buta-art-club
Cadora,"Neftçilər pr., ""Park Bulvar"" T/M",012 5987341,Desertlər,Restoranlar,10:00-22:00,,Fon musiqisi; İçkilər,"Səhər yeməyi yemək və ya sadəcə desertin, dondurmanın dadına baxmaq üçün burada Sizi həmişə gözləyirlər. Kafenin menyusunda mütəmadi olaraq yeniliklər, əsasən içkilər, südlü-kofeli kokteyllər, dondurma və desertlər hər bir qonağın ürəyincə olacaq.",,,,,,40.3702583,49.8462667,https://bakuguide.com/images/places/126/cadora-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/126-cadora
"""Taboo"" restoranı","Fikrət Əmirov küçəsi, 33 / 35-2",012 5981761; 012 5981762,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/127-taboo-restorani
Sumakh,"Xocalı prospekti 20/22, AZ1025 Bakı",012 4953189; 050 2328077; 012 4802112,Azərbaycan,Restoranlar,12:00-00:00,,Səhər yeməyi,"Məhz burada Azərbaycan mətbəxi geniş çeşidlərdə, dad zərifliyinin qorunması şərti ilə qarşınızda canlanır. Əsrlərdir şərq mətbəxinin kulinarları tərəfindən yaradılan və qorunan ənənəyə sadiq aşbazlarımız hər yeməyi məxsusi sevgi ilə hazırlayırlar. Buradakı dadlar hər kəsin zövqünə oxşayacaq və xidmətimizdən olduqca məmnun qalacaqsınız.",https://www.facebook.com/sumakh,,,,,40.3820419,49.8684501,https://bakuguide.com/images/places/129/sumax-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/129-sumakh
Sultan,"Xaqani küç., 36",012 4988845,Avropa; Dəniz; Rus,Restoranlar,09:00-00:00,,İçkilər; Səhər yeməyi; Take Away,"16 il ərzində yerli bazarda nəinki öz aktuallığını və populiyarlığını itirdi, əksinə dahada elitar və sevimli məkan statusunə qədər yüksəldi. Bütün bu müddət ərzində müştərilərinə professional və dostcasına xidmətlə birlikdə Azərbaycan və Avropa mətbəxninin ən gözəl nümunələrinə qonaq edir.",https://www.facebook.com/sultanbaku/timeline?ref=page_internal,,,,,40.3745183,49.8511062,https://bakuguide.com/images/places/134/sultan-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/134-sultan
"""Scalini"" Ristorante Italiano","Bakıxanov küçəsi, 2",012 5982850; 012 5962090; 055 2317777,İtaliya,Restoranlar,18:00-00:00,,Bilyard; Fon musiqisi; İçkilər; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi; Sigaret çəkməyən və çəkənlər üçün masalar; Park xidməti,"15 ildən artıqdır ki, Bakıda fəaliyyət göstərən Scalini restoranı İtalyanın ən qədim və ən dadlı yeməkləri ilə sizlərin xidmətindədir.",https://www.facebook.com/scalinibaku/timeline,,,,,40.3863219,49.825427,https://bakuguide.com/images/places/135/scalini-ristorante-italiano-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/135-scalini-ristorante-italiano
"""Sahil"" restoranı","Neftçilər prospekti, 127 / 1",012 4976455; 012 4976477,Azərbaycan,Restoranlar,18:00-00:00,10-25,Fon musiqisi; İçkilər; Wi-Fi; Səhər yeməyi; Kredit kartla ödəniş; Masaların sifarişi; Take Away; Sigaret çəkməyən və çəkənlər üçün masalar,"Restoran: Yumşaq tünd göy və gümüşü dəri elementlər, qara ağac, polad döşəmə, xalçalar və mirvari mozaika mürəkkəb, lakin yüngül ab-hava yaradır. SAHIL restoranının Londondan Blue Sky Hospitality dizayn studiyası tərəfindən yaradılan dizaynı Bakı buxtasından və Xəzər sahilindən ilham alıb. Nyu York və ya Parisdə də yersiz görünməyəcək zəngin materiallar və müasir estetika hər bir qonağın zövqünü oxşayacaq. Sahil Azərbaycanın ilk müasir Xəzər restoranıdır. Təcrübəli komanda ləzzətli klassiklik və müasirliyin əks edildiyi yeməklər hazırlayır. Sahil barın kokteylinin araq üçün xüsusi hazırlanmış buz dolabı məhsulları sıfırdan aşağı düzgün temperaturda saxlayır.",https://www.facebook.com/SAHiLBAKU/timeline,,,,,40.369501,49.845565,https://bakuguide.com/images/places/137/sahil-restorani-1.jpg; https://bakuguide.com/images/places/137/sahil-restorani-2.png; https://bakuguide.com/images/places/137/sahil-restorani-3.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/137-sahil-restorani
"""Retro Şam"" restoranı","Şövkət Məmmədova küçəsi, 3097-ci məhəllə",012 5618090; 050 2358481; 050 2244069,Avropa; Azərbaycan,Restoranlar,,,Çatdırılma; Take Away,"Milli və avropa mətbəxinin 200-dən çox xörəyinin təqdim olunduğu məkandır və 20-150 yerlik banket zallarına, açıq havada yerləşən pivə-barlarına, böyük çeşidli çaxır zirzəmisinə malikdir.",/cdn-cgi/l/email-protection#5c2e392f392e2a391c2e39282e332f343d31723e3526,,,,,40.4219781,49.8461906,https://bakuguide.com/images/places/139/retro-sam-restorani-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/139-retro-sam-restorani
Ramses,"Rəşid Behbudov küçəsi, 25",012 5961497,Avropa; Azərbaycan,Restoranlar,10:00-00:00,25-30,Canlı musiqi; VİP otaq; Masaların sifarişi,"Burada hər kəs qaydaya uyğun işləyir, hər bir qonaq gülərüz heyətin diqqət və qayğısı ilə əhatə olunur. Rahat atmosfer, əla xidmət, rəngarəng yeməklər menyusu -hər şey yaxşı istirahət üçün yaradılıb. Axşamlar burada canlı musiqi dinləyə, hətta ecazkar rəqqasələrin şərq rəqslərindən həzz ala bilərsiniz.",https://www.facebook.com/pages/Ramses/939965296014280?fref=ts,,,http://4sq.com/w9fIym,,40.3802664,49.8438896,https://bakuguide.com/images/places/141/ramses-1.png; https://bakuguide.com/images/places/141/ramses-2.png; https://bakuguide.com/images/places/141/ramses-3.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/141-ramses
Qubernator,"İstiqlaliyyət küçəsi, 1 B",012 4922951,Fast food; İtaliya; Türk,Restoranlar,11:00-02:00,20-30,,"Yarandığı ilk gündən şəhər sakinləri və qonaqlarının sevilən istirahət məkanına çevrilib. Əla mətbəx, qəlyanaltıların, içkilərin, desertlərin geniş seçimi, həmçinin hər zövqə uyğun qəlyan - açıq səma altında, yüzillik ağacların kölgəsində unudulmaz istirahət üçün bundan artıq nə lazımdır?",https://www.facebook.com/pages/Qubernator-Kafe/220385158085797?sk=timeline,,,,,40.3686011,49.8331013,https://bakuguide.com/images/places/146/qubernator-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/146-qubernator
"""Qoşa Qala"" restoranı","Mərdəkan qəs., Tağıyev küç. 34",012 4188954; 012 4548954; 050 4808954,Avropa; Azərbaycan,Restoranlar,10:00-00:00,,Canlı musiqi; Park xidməti,"Yalnız burada Qafqaz qonaqpərvərliyini tapa bilərsiniz. Sizin üçün xüsusi olaraq, könlünüzü oxşayan hər cür şərait yaradılıb. Restoranımızda Avropa, milli, ve dünya mətbəxindən əsrarəngiz dadlı yeməklər sizi gözləyir. Ailəvi istirahət məkanında hər gün canlı musiqi, zövqlü mahnılar, yüksək səviyyəli personal xidmət göstərir.",,,,,,40.5067187,50.1561928,https://bakuguide.com/images/places/148/qosa-qala-restorani-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/148-qosa-qala-restorani
Qızıl Qaya,"Mikayil Əliyev küçəsi, 33",012 4709933; 012  4709955,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/150-qizil-qaya
Serin,"Babək pr., 76",012 4221300,Avropa; Azərbaycan,Restoranlar,10:00-01:00,25-40,Canlı musiqi,"Şirkətin əsas fəaliyyəti ərzaq və kənd təsərrüfatı mallarının alqı-satqısı, eləcə də ictimai iaşə xidmətindən ibarət olmuşdur. 1998 “Sərin “restoranı fəaliyyətə başladı. “Sərin” Hoteli isə öz fəaliyyətinə 24 avqust 2000-ci ildə başlayıb. Günümüzə qədər bir çox iqtisadi böhranlara sinə gərən “Sərin” şirkəti, bu gün də dövlətimizin xidmətində duraraq, yeni-yeni iş məkanları açmaqdadır. Bu isə əhalinin kiçik bir hissəsinin də olsa işlə təmin edilməsi deməkdir. Biz ümidvarıq ki, doğru, düzgün və şəffaf iqtisadi siyasəti ilə “Sərin” Şirkəti hələ neçə-neçə yeni proyektlərə imza atacaqdır.",https://www.facebook.com/pages/Serin/161342340609454?fref=ts,,,,,40.3950796,49.9338799,https://bakuguide.com/images/places/151/serin-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/151-serin
Planet,"Məhsəti Gəncəvi küçəsi, 3",012 4225050; 012 4234378; 050 3622881,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/153-planet
Chanaq Gala,"Təbriz küç., 35",012 4962585,,Restoranlar,,,,,https://www.facebook.com/hanrestaurantbaku/,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/154-chanaq-gala
Pekin restoranı,Y. Vəzirov küç. 106,012 5640724; 012 5640725; 012 5640734,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/155-pekin-restorani
Chio Chio San,"Şəmsi Badalbəyli küç., 98",012 4980272; 012 4980292,Yapon,Restoranlar,12:00-00:00,30-50,Biznes lanç; İçkilər; Yay terrası; Wi-Fi; VİP otaq; Kredit kartla ödəniş; Masaların sifarişi; Sigaret çəkməyən və çəkənlər üçün masalar; Sushi bar; Sərbəst Wi-Fi; Park xidməti,"Son zamanlar yapon mətbəxi həmyerlilərimizin qida rasiyonuna daxil olub. «Chio Chio San» restoranı sizi özünəməxsus üslub və komfortun hakim olduğu əsl şərq atmosferində qarşılayacaq. Bizim restoran yerli yapon restoranlarından əsaslı olaraq fərqlənir. Restoranın mətbəxi təkcə məhsulların keyfiyyəti ilə deyil, yeməklərin hazırlanmasına müəllif yanaşaması ilə fərqlənir. Yeməklərin hazırlanmasında keyfiyyətli balıq və ən yaxşı düyü növündən istifadə olunur. «Chio Chio San» -da yeməklər on illiklər",https://www.facebook.com/pages/Chio-Chio-San/307591732659998?ref=hl,,,http://4sq.com/f6mYWr,,40.3767897,49.8444412,https://bakuguide.com/images/places/158/chio-chio-san-1.jpg; https://bakuguide.com/images/places/158/chio-chio-san-2.jpg; https://bakuguide.com/images/places/158/chio-chio-san-3.jpg; https://bakuguide.com/images/places/158/chio-chio-san-4.png; https://bakuguide.com/images/places/158/chio-chio-san-5.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/158-chio-chio-san
Köhnə Dost,"Bəşir Səfəroğlu küç., 151",012 4946568,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/159-kohne-dost
Peşera,"Asif Məhərrəmov küçəsi, 34 A",012 4309006,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/160-pesera
Chiraq,"Bakı şəhəri, Binəqədi qəs.",012 4124242; 050 4240242; 050 4770242; 050 4430242,Avropa; Azərbaycan,Restoranlar,,,,"Burada vikendlərin, ziyafətlərin, işgüzar görüşlərin və qohum və yaxın adamlarla xoş vaxtın keçirilrməsi üçün. bütün şəraitlər yaradılmışdır. Kəndsayağı üslub, müasir texnika ilə təchiz olunmuş kiçik kənd evləri o çümlədən açıq havada, çiçəklərlə örtülmüş yerlərdə masalar - bunların hamısı istirahət əhval ruhiyyəsi yaradır. Xidmət də oz növbəsində yüksək səviyyədə təşkil olunmuşdur. Restoran əməkdaşları ziyarətçiləriıı arzularına çox böyük hörmətlə yanaşır. Peşəkər aşbazlar milli və avropa mətbəxinin ənənəsinə müvafiq yeməklər hazırlayırlar. Restorana baş çəkən xarici vətəndaşlar bizim peşəkər aşbazların əlləri ilə hazırlanmış yeməklərdən zövq alırlar.",/cdn-cgi/l/email-protection#8dffe8fef9ecf8ffece3f9cdeee5e4ffecfca3ecf7,,,,,,,https://bakuguide.com/images/places/161/chiraq-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/161-chiraq
Orient House,"Mirqasımov küçəsi, 2",012 4407612,Azərbaycan; Ərəb,Restoranlar,10:00-22:00,10-20,Çatdırılma; Fon musiqisi; İçkilər; Wi-Fi; VİP otaq; Masaların sifarişi; Mafiya,"Gecə təşkil etməyə, dostlarla görüşməyə, ortağınızı lança dəvət etmək və ya romantik axşam yeməyi etməyə hazırlaşırsınız? Hamınızı restoranımıza dəvət edirik. Restoranımızı şübhəsiz ki, bəyənəcəksiniz.",https://www.facebook.com/OrientHouseLoungeRestaurant/timeline,,,http://4sq.com/17itICU,,,,https://bakuguide.com/images/places/166/orient-house-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/166-orient-house
"""Nərgiz"" restoranı","Tərlan Əliyarbəyov küçəsi, 9",012 4939886; 050 5476545; 070 3376545; 077 3376545,Avropa; Azərbaycan; Fransız; Türk,Restoranlar,10:00 - 02:00,8-15,Uşaqlar üçün əyləncə,"Burada siz Avropa İtalyan, Fransız, Türk və Azərbaycan mətbəxinin ləziz təamlarının dadına baxa bilərsiniz. Həftə içi hər gün saat 12:00-dan 17:00-a qədər hər kəsi sərfəli business lunch dəvət edirik. Milli ornametlərlə bəzədilmiş Nərgiz restoranı göz oxşayır.",https://www.facebook.com/NARGIZ.RESTAURANT/timeline,,,,,40.371775,49.837388,https://bakuguide.com/images/places/168/nergiz-restorani-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/168-nergiz-restorani
Bella Napoli Ristorante Napoletano,"Azərbaycan Bakı Molokan bağı, Qoqol küç.я 4В",012 4980907; 050 2710907,Avropa; İtaliya,Restoranlar,10:00-02:00,10-20,Park xidməti,"Bella Napoli italyan restoranı saat 10:00-dan son müştəri gedənədək işləyir. Cümə və şənbə günləri məkan səhər saat 5-dək işləyir. Həmçinin Napoli Ristorante Napoletano-nun böyük üstünlüyü ondadır ki, istənilən zaman siz menyudan istənilən yeməyi sifariş edə bilərsiniz, yəni mətbəx də son müştəri gedənədək işləyir.",https://www.facebook.com/NapoliRestorante/info?tab=overviewhttps://www.facebook.com/NapoliRestorante/timeline,,,,,40.371688,49.8410704,https://bakuguide.com/images/places/170/bella-napoli-ristorante-napoletano-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/170-bella-napoli-ristorante-napoletano
Monte-Kristo,"Cəfər Xəndan küçəsi, 38 M",012 4360610; 050 4360606; 050 5360606,Avropa; Azərbaycan,Restoranlar,10:00-02:00,25-50,Canlı musiqi; Park xidməti,"Qonaqları sıxıcı şəhər həyatından bir anlığa ayrılmağa dəvət edən ""İf Qalası"" restoranı öz gen-bol məkanında spirtli və alkoqolsuz içkilərlə bərabər Avropa və yerli mətbəxi Sizə təklif edir. Kərpiclə hörülmüş və naxışlı ağacla naxışlarla bəzədilmiş qalaça qonaqlarımıza rahatlıq və gözəl istirahət bəxş edir. Restoranın ərazisində yerləşən barda təcrübəli barmen hazırladığı ekzotik kokteyllər və müxtəlif çeşidli spirtli içkilərlə buraya qədəm basan hər bir qonağın zövqünü oxşayır. Tanınmış dizaynerlər tərəfindən işlənmiş restoranımızın tərtibatı burada istirahət edən qonaqlarımızın problemlərini unutmağa və fortepiano sədaları altında tam rahatlıq əldə etməyə sövq edir. ""İf Qalası"" restoranında hər axşam saksafonda İlham Nəcəfovun, fortepianoda isə maestro Nizaminin ifasında canlı musiqi səslənir. İlham Nəcəfovun və maestro Nizaminin gözəl caz ifası axşamlar zalı xoş əhval və ruhiyyə ilə doldurur. Restoran həmçinin canlı musiqi oxumaq həvəskarları üçün karaoke sistemi üzrə musiqi və mətn seçimi ilə mahnı oxumaq üçün şərait yaradır.",/cdn-cgi/l/email-protection#bbdcc9daddfbd6d4d5cfded0c9d2c8cfd495dac1,,,,,40.4173874,49.8402835,https://bakuguide.com/images/places/173/monte-kristo-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/173-monte-kristo
Mezzo,"Bakıxanov küçəsi, 1 Hyatt Hotels",012 4961234,Aralıq dənizi; Dəniz,Restoranlar,07:00-23:00,50-55,Biznes lanç; Fon musiqisi; İçkilər; Yay terrası; Səhər yeməyi; Kredit kartla ödəniş; Masaların sifarişi,"Ənənəvi Paella və evdə hazırlanmış pastalar kimi məşhur sevimli təamlar ilə axşamınıza zövq qatın. Mezzo Business Lunch (Bazar ertəsi-Cümə, saat 12:00-dan 15:00-a kimi) və Mezzolicious Sunday Brunch-ı (hər Bazar saat 12:00-dan 16:00-a kimi) unutmayın. Masa sifarişi və ya ətraflı məlumat üçün 490-12-34 nömrəsinə zəng edə və ya[email protected]electron ünvanına məktub göndərə bilərsiniz.",https://www.facebook.com/hyatt,,,http://4sq.com/zcY5sk,,40.386829,49.824483,https://bakuguide.com/images/places/174/mezzo-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/174-mezzo
Mangal Restaurant,"Zeynalabdin Tağıyev küçəsi, 8 Səbail",012 498 91 11,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/179-mangal-restaurant
Manço,"Xaqani küçəsi, 40",012 4936473,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/180-manco
"""Maharaja"" Indian restaurant","Əbdülkərim Əlizadə küçəsi, 6",012 4924334; 012 4927364; 050 6324334,Hindistan,Restoranlar,,,,1999-cü ildən Bakıda ən məhşur Hindistan restoranı olaraq faəliyyət göstərir.,/cdn-cgi/l/email-protection#9bf6faf3fae9faf1fadbfae1feeee9f4effef7b54a1af4f6,,,,,,,https://bakuguide.com/images/places/181/maharaja-indian-restaurant-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/181-maharaja-indian-restaurant
"""Mado"" Yapon restoranı","İnşaatçılar prospekti, 33",012 4975544,Yapon,Restoranlar,12:00 - 23:00,30-40,Biznes lanç; Fon musiqisi; İçkilər; Kredit kartla ödəniş; Masaların sifarişi; Sigaret çəkməyən və çəkənlər üçün masalar,"Dünyanın ən harmonik mətbəxlərindən biri - Yapon mətbəxidir. O, çox müxtəlif və zərif, son dərəcə təbii, eyni zamanda insan uçün xeyirlidir. Minimum termiki emal vitaminlərinin va qida maddələrinin maksimal sabitliyini təmin edir.",https://www.facebook.com/pages/-MADO-Japanese-Restaurant/143752205645499?ref=ts&fref=ts,,,http://4sq.com/karW3i,,40.3838697,49.8237627,https://bakuguide.com/images/places/182/mado-yapon-restorani-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/182-mado-yapon-restorani
Long Island,"Mərdanov qardaşları küçəsi, 15",012 5967649; 050 4430071,,Restoranlar,15:00-00:00,,İçkilər; VİP otaq; Kredit kartla ödəniş; Masaların sifarişi,Müasir üslubda dizayn olunmuş interyer eləcə də barmenlərin hazırladığı ləziz və təkrarsız kokteyllər sizə xoş könül ovqatlığı bəxş edəcəkdir. Siz həmçinin sevimli içkilərinizlə xollda düzülmüs yumşaq və rahat divanlarda əyləşib istirahət edə bilərsiniz.,https://www.facebook.com/pages/Long-Island/716700188425811?sk=timeline,,,,,40.375145,49.8393166,https://bakuguide.com/images/places/183/long-island-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/183-long-island
Lebanese restaurant & pub,"Zeynalabdin Tağıyev küçəsi, 12",012 4937849,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/185-lebanese-restaurant-pub
Liman,"Afiyəddin Cəlilov küçəsi, 4 B",012 4964246; 055 7030777,Azərbaycan,Restoranlar,09:00-23:00,,,"Azərbaycan mətbəxini sevənlər bu məkanı eləcə də burda təqdim olunan müxtəlif növ milli yeməklər, qutablar, dolmanı çox bəyənəcəklər. Xatirələrinizin uzun müddət yaddaşlarınızda qalması və təkrar dönmək istədiyiniz məkandır.",,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/186-liman
Lido,"Atatürk prospekti, Naxçıvani küçəsinin kəsişdiyi yer",012 4362021; 050 3133190,Dəniz; Fransız; İtaliya,Restoranlar,,,İçkilər,Lido restoranı sizlərə Şərq və Avropa mətbəxinin ən dadlı yeməklərini təklif edir.,https://www.facebook.com/LIDO1997/timeline,,,,,40.4181384,49.8455361,https://bakuguide.com/images/places/187/lido-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/187-lido
Lady Q Restaurant,"Tbilisi prospekti, 3    NATAVAN Business Centre",012 4970372,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/188-lady-q-restaurant
La Parfumerie (NARCISSE),"İnşaatçılar prospekti, 33",012 5100507,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/189-la-parfumerie-narcisse
La Baguette,"Yusif Məmmədəliyev küçəsi, 19 /21",012 5985498,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/190-la-baguette
Superdad,"Akademik Həsən Əliyev küç., 135/A",012 5643262,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/191-superdad
Zimlya,"İstiqlaliyyət 31, Səbail rayonu",012 4924733,,Restoranlar,10:00 - 23:00,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/192-zimlya
Zafo,"Kazımzadə küçəsi 7, 2ci döngə, Yasamal",012 5410074; 012 541007,Avropa; Azərbaycan,Restoranlar,10:00-00:00,20-35,,"Avropa və Azərbaycan mətbəxinin ləziz təamlarının dadına Zafo-da baxa bilərsiniz. Burada siz dadlı və sağlam səhər yeməyi, nahar və şam yeməyinə əzizlərinizi dəvət edə bilərsiniz. Kabab, piti, müxtəlif plovlar, tərəvəz salatları, çığırtma, ətli, göyərtili qutabın dadına Zafo-da baxa bilərsiniz.",https://www.facebook.com/pages/Zafo-restaurant-lounge/479868812156007?sk=timeline,,,,,40.3783039,49.8195219,https://bakuguide.com/images/places/193/zafo-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/193-zafo
Yuukai Restaurant,"Qelebe küçəsi 94, Bilgəh qəsəbəsi",012 5654000; 050 2634019,Asiya,Restoranlar,19:00-01:00,,Fon musiqisi; İçkilər; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi; Sərbəst Wi-Fi; Mini-kitabxana,"Otelin ən üst qatında yerləşən restorandan Xəzərə təkrarsız mənzərə açılır, bu da ab-havaya xüsusi dəbdəbə əlavə edir. Restoranın mərkəzindəki böyük bar ekskluziv kokteyllər təqdim edir.",https://www.facebook.com/jumeirahbbh,,https://twitter.com/jumeirahbbh,http://4sq.com/V6aqs6,,40.5758881,50.0429657,https://bakuguide.com/images/places/194/yuukai-restaurant-1.png; https://bakuguide.com/images/places/194/yuukai-restaurant-2.png; https://bakuguide.com/images/places/194/yuukai-restaurant-3.png; https://bakuguide.com/images/places/194/yuukai-restaurant-4.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/194-yuukai-restaurant
Yeni Elit,"Mirəli Qaşqay 23, Nəsimi r-nu",012 4402007; 051 5334778,,Restoranlar,09: - 23:00,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/195-yeni-elit
"""Yeni Bulvar"" Restaurant and Lounge",Yusif Səfərov küç.4,012 4903676,Beynəlmiləl; Sushi bar,Restoranlar,24 saat,30-40,Banketlərin qəbulu; Biznes lanç; Fon musiqisi; İçkilər; Wi-Fi; VİP otaq; Vip zona; Karaoke; Masaların sifarişi; Take Away; Qəlyan; Kiçik Kinoteatr; Park xidməti,"Şərq üslubunda təmir edilmiş ümumi zalları, kabinetləri karaoke, TV, kiçik kinoteatr, sərbəst wi-fi ilə təchiz olunub. Gözəl dizayn və akustika, musiqi fonu, sakit abu-hava, dadlı yeməkləri ilə gələn qonaqları razı salacaq.",https://www.facebook.com/yeni.bulvar.restaurant/timeline,,,,,40.3843823,49.864206,https://bakuguide.com/images/places/196/yeni-bulvar-restaurant-and-lounge-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/196-yeni-bulvar-restaurant-and-lounge
Vista,"Neftçi Q. Abbasov küçəsi, 7",012 4910227; 012  4910228,,Restoranlar,,,Biznes lanç; Canlı musiqi; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi; Sərbəst Wi-Fi,"Burada sizə mövsümə uyğun məhsullardan hazırlanmış nəfis yeməklər təklif olunur və bu da restoranın menyusunu xeyirli və rəngarəng edir. Burada həmçinin biznes lanç, bufet -menyu, baş aşpazdan xüsusi yemək təqdim olunur. Bu məkanın xüsusiliyi -dünya mətbəxinin ən yaxşı yeməkləri və əlavə olaraq şərab xəritəsindən nəfis şərab.",,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/197-vista
Xurma,"Ceyhun Hacıbəyli 28B, Nərimanov rayonu",012 4412941,Beynəlmiləl,Restoranlar,12:00 - 06:00,15-40,Fon musiqisi; VİP otaq,"İsti tonlar ideal servirovka müasir dizaynda ışıqlandırma avadanlıqları yumşaq və rahat oturacaqlar, bütün bunlar insana xoş istirahət abu-hava bəxş edir. Ləziz çay növləri, cürbəcür şirniyyatlar, desertlər və şokoladların dadına baxmağa dəvət edirik. Bütün bunlar sizi şəhərin yorğunluğundan uzağlaşdırır bədəninizlə ruhunuz arasında harmoniya yaradır.",,,,,,40.3906103,49.8464194,https://bakuguide.com/images/places/198/xurma-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/198-xurma
Xalifa,Rəşid Behbudov 17,012 4989296,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/199-xalifa
Vip,"Yusif Səfərov 23 A, Crystal Plaza",012 4964999; 050 4964999,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/200-vip
Chocologo,"Şamil Əzizbəyov küç., 161",012 5951020; 050 2521010,,Restoranlar,,,,,/cdn-cgi/l/email-protection#177871717e747257747f787c787b78707839766d,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/201-chocologo
Təbriz,"Şeyx Şamil küç., 8",012 4973497,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/202-tebriz
